ELECCION,nombres_candidato,apellido_paterno_candidato,apellido_materno_candidato,ESTADO,Observada
DIPUTADO,CAROLINA,MARZAN,PINTO,APROBADA,SI
DIPUTADO,ANA MARIA,MOLINA,VILLARREAL,APROBADA,SI
DIPUTADO,PATRICIA LILIANA,VIVAR,VIVAR,APROBADA,NO
DIPUTADO,ALLYSON,RICHASSE,RUBIO,APROBADA,SI
DIPUTADO,LETICIA DEL CARMEN,ZUÑIGA,SILVA,APROBADA,SI
SENADOR,MARIA IDILIA,GATICA,GAJARDO,APROBADA,SI
DIPUTADO,JUAN MANUEL,FUENZALIDA,COBO,APROBADA,SI
DIPUTADO,RICARDO,INALEF,MORA,APROBADA,SI
SENADOR,SERGIO,GAHONA,SALAZAR,APROBADA,SI
DIPUTADO,MARIA VICTORIA,NEGRETE,MENDEZ,APROBADA,SI
DIPUTADO,RICARDO,GEORGES,CID,APROBADA,NO
DIPUTADO,JUAN CARLOS,GOMEZ,ESCOBAR,APROBADA,SI
DIPUTADO,SUSANA,CORDOVA,RODRIGUEZ,APROBADA,SI
DIPUTADO,MARIA DE LOS ANGELES,DE LA PAZ,RIVEROS,APROBADA,SI
DIPUTADO,PATRICIO,PALMA,MOLINA,APROBADA,SI
DIPUTADO,CLAUDIO FABIAN,ETCHEVERS,FLORES,APROBADA,SI
DIPUTADO,ENRIQUE SEGUNDO,LEE,FLORES,APROBADA,SI
DIPUTADO,ANGEL CUSTODIO,JADUE,PICHARA,APROBADA,SI
DIPUTADO,CRISTIAN,ARANGUIZ,SALAZAR,APROBADA,SI
DIPUTADO,CRISTHIAN,LAGOS,PALMA,APROBADA,SI
DIPUTADO,MARIA TRINIDAD,ARAYA,ORTEGA,APROBADA,SI
DIPUTADO,NIEVES DEL CARMEN,RAIN,CAYUN,APROBADA,SI
DIPUTADO,LUIS HUMBERTO,ARAVENA,EGAÑA,APROBADA,SI
DIPUTADO,MARIO ENRIQUE,FAJARDO,PEREZ,APROBADA,NO
DIPUTADO,HILARIO,HUIRILEF,BARRA,APROBADA,NO
DIPUTADO,NATACHA ODETTE,RIVAS,MORALES,APROBADA,SI
DIPUTADO,ANGELICA,CID,VENEGAS,APROBADA,SI
DIPUTADO,ELADIO,ROJAS,VERGARA,APROBADA,NO
DIPUTADO,ANA MARIA,ARIAS,AGURTO,APROBADA,NO
DIPUTADO,RODRIGO ANDRES,VATTUONE,GARCES,APROBADA,SI
DIPUTADO,JOEL,MOYA,MORALES,APROBADA,SI
SENADOR,DANIEL,NUÑEZ,ARANCIBIA,APROBADA,SI
DIPUTADO,ROCIO DEL PILAR,FAUNDEZ,GARCIA,APROBADA,SI
DIPUTADO,FANNY CAROLINA,KEYER,QUIROZ,APROBADA,SI
DIPUTADO,FABIOLA ROSA,MATURANA,VIELMA,APROBADA,SI
DIPUTADO,RITA MARIA,HOJAS,ESCRICH,APROBADA,SI
DIPUTADO,MARCO ANTONIO,SULANTAY,OLIVARES,APROBADA,SI
DIPUTADO,AUCAN,HUILCAMAN,PAILLAMA,APROBADA,SI
DIPUTADO,PABLO ALBERTO,DIAZ,SALAZAR,APROBADA,SI
DIPUTADO,DARKO ALEXANDAR,PERIC,VON BERGEN,APROBADA,SI
DIPUTADO,IRENE ANDREA,LJUBETIC,VILLANUEVA,APROBADA,SI
DIPUTADO,KARINA ALEJANDRA,ACEVEDO,AUAD,APROBADA,SI
SENADOR,LUCIANO,CRUZ-COKE,CARVALLO,APROBADA,SI
DIPUTADO,ALBERTO,UNDURRAGA,VICUÑA,APROBADA,SI
SENADOR,ALEJANDRO,SANTANA,TIRACHINI,APROBADA,SI
SENADOR,NATALIA,PIERGENTILI,DOMENECH,APROBADA,SI
DIPUTADO,JUAN JACOBO,TANCARA,CHAMBE,APROBADA,SI
DIPUTADO,KARIN PAMELA,CONTRERAS,MURTSCHWA,APROBADA,SI
SENADOR,ALEJANDRA,SEPULVEDA,ORBENES,APROBADA,SI
DIPUTADO,MABEL LUCILA,ZUÑIGA,VALENCIA,APROBADA,SI
DIPUTADO,FUAD,HAMED,SLEMAN,APROBADA,SI
DIPUTADO,PAOLA MARIA,VILLEGAS,DELGADO,APROBADA,NO
DIPUTADO,CLAUDIO,POBLETE,DURAN,APROBADA,NO
DIPUTADO,ELENA MARISOL,VARELA,LOPEZ,APROBADA,NO
DIPUTADO,HECTOR ORLANDO,MONTECINOS,SANDOVAL,APROBADA,NO
DIPUTADO,MARCOS,EMILFORK,KONOW,APROBADA,SI
DIPUTADO,DELIA NORMA,CONDORI,FLORES,APROBADA,SI
DIPUTADO,JULIO,OLIVA,GARCIA,APROBADA,SI
DIPUTADO,CRISTIAN HERNANDO,TAPIA,RAMOS,APROBADA,SI
DIPUTADO,ALEXIS,SEPULVEDA,SOTO,APROBADA,SI
DIPUTADO,MARIA TERESA,ALVAREZ,AGUILAR,APROBADA,SI
DIPUTADO,SUSANA,HERRERA,QUEZADA,APROBADA,SI
SENADOR,PEDRO ANTONIO,VELASQUEZ,SEGUEL,APROBADA,SI
DIPUTADO,MATIAS JOSE,DEL REAL,RICHASSE,APROBADA,SI
DIPUTADO,RICARDO ENRIQUE,BRITO,GALARCE,APROBADA,SI
DIPUTADO,ERIC,AEDO,JELDRES,APROBADA,SI
DIPUTADO,MARIA SOLANGE,ETCHEPARE,LACOSTE,APROBADA,SI
DIPUTADO,GONZALO GUILLERMO,FUENZALIDA,FIGUEROA,APROBADA,SI
DIPUTADO,MARIA LORETO,RETAMAL,GRIMBERG,APROBADA,SI
PRESIDENTE,SEBASTIAN,SICHEL,RAMIREZ,APROBADA,SI
SENADOR,ESTEBAN,VILCHEZ,CELIS,APROBADA,SI
DIPUTADO,ALFONSO ERNESTO,BARRIL,AGUERO,APROBADA,SI
DIPUTADO,ALEJANDRA,CARREÑO,PEREZ,APROBADA,SI
SENADOR,OSCAR MAURICIO,MENARES,HERNANDEZ,APROBADA,SI
DIPUTADO,NELSON NICOLAS,PEÑA,GALLARDO,APROBADA,SI
DIPUTADO,FERNANDO,NEIRA,PEZOA,APROBADA,SI
DIPUTADO,LILIAN DE LAS MERCEDES,DINAMARCA,MUÑOZ,APROBADA,SI
DIPUTADO,MAXIMILIANO ULISES,CARCAMO,GONZALEZ,APROBADA,SI
DIPUTADO,FRANCISCO,UNDURRAGA,GAZITUA,APROBADA,SI
DIPUTADO,DORIS NELLY,SANDOVAL,MIRANDA,APROBADA,SI
DIPUTADO,JOSE MIGUEL,CASTRO,BASCUÑAN,APROBADA,SI
DIPUTADO,MANUEL,PAINIQUEO,TRAGNOLAO,APROBADA,SI
DIPUTADO,MANUEL ALEJANDRO,CORRALES,GONZALEZ,APROBADA,SI
DIPUTADO,CLAUDIO FRANCISCO,RIVAS,CARRASCO,APROBADA,SI
DIPUTADO,LEANDRO PATRICIO,CORTEZ,FRIAS,APROBADA,SI
DIPUTADO,FRANCISCO,GUTIERREZ,FIGUEROA,APROBADA,NO
DIPUTADO,LIZ NATALIA,CASANUEVA,MENDEZ,APROBADA,SI
DIPUTADO,HUGO,BOZA,VALDENEGRO,APROBADA,SI
DIPUTADO,ELIZABETH,MUJICA,ZEPEDA,APROBADA,NO
DIPUTADO,JORGE,GARCIA,MALHERBE,APROBADA,SI
DIPUTADO,CHRISTIAN,CAMUS,ACEVEDO,APROBADA,SI
DIPUTADO,MARIA VIOLETA,SILVA,CAJAS,APROBADA,SI
DIPUTADO,ARNOLDO,ÑANCULEF,HUAIQUINAO,APROBADA,SI
DIPUTADO,MARIA SOLEDAD,CASTILLO,HENRIQUEZ,APROBADA,SI
DIPUTADO,ALEX ORLANDO,BRUCHER,HERMOSILLA,APROBADA,SI
DIPUTADO,RODRIGO,ALBORNOZ,POLLMANN,APROBADA,SI
DIPUTADO,JORGE,RATHGEB,SCHIFFERLI,APROBADA,SI
SENADOR,SAYONARA,YAÑEZ,BARRIA,APROBADA,SI
DIPUTADO,CAROLINA,FERNANDEZ,GONZALEZ,APROBADA,SI
DIPUTADO,MINERVA,CASTAÑEDA,MELIÑAN,APROBADA,SI
DIPUTADO,LORENA,PIZARRO,SIERRA,APROBADA,SI
SENADOR,GUSTAVO ADOLFO,SANHUEZA,DUEÑAS,APROBADA,SI
DIPUTADO,CARLOS ROBERTO,LEZAETA,CABRERA,APROBADA,SI
DIPUTADO,PATRICIO,MUÑOZ,CARDENAS,APROBADA,SI
DIPUTADO,TATIANA ROSA,MARIN,OLIVA,APROBADA,SI
DIPUTADO,ARTURO,SANCHEZ,GATICA,APROBADA,SI
DIPUTADO,EMMA PATRICIA,CIFUENTES,BARRIENTOS,APROBADA,SI
DIPUTADO,JORGE ENRIQUE,DE LA MAZA,SCHLEYER,APROBADA,SI
DIPUTADO,MARGARITA,MORALES,VALERO,APROBADA,NO
DIPUTADO,LEONARDO,SOTO,FERRADA,APROBADA,SI
DIPUTADO,SEBASTIAN,ALVAREZ,RAMIREZ,APROBADA,SI
DIPUTADO,ERICA,PANIAGUA,HERBAS,APROBADA,SI
DIPUTADO,GUSTAVO,BERTELSEN,MAYOL,APROBADA,SI
DIPUTADO,TAMARA,CASADO,VERGARA,APROBADA,NO
DIPUTADO,ARIEL VLADIMIR,ENCINA,CRUZ,APROBADA,NO
DIPUTADO,RENE OMAR,ACUÑA,BARRERA,APROBADA,SI
DIPUTADO,MONICA,CASTRO,CANALES,APROBADA,SI
DIPUTADO,JULIO DIEGO,IBARRA,MALDONADO,APROBADA,SI
SENADOR,CRISTIAN,CONTRERAS,RADOVIC,APROBADA,SI
DIPUTADO,RODRIGO,DAROCH,YAÑEZ,APROBADA,SI
DIPUTADO,NELSON DAVID,ALVAREZ,GALLEGUILLOS,APROBADA,SI
DIPUTADO,MARIA ELENA,VILLAGRAN,PAREDES,APROBADA,SI
SENADOR,PATRICIO,NEIRA,PEZOA,APROBADA,SI
DIPUTADO,EDGARDO,LOVERA,RIQUELME,APROBADA,SI
SENADOR,MARCELA CONSTANZA,SABAT,FERNANDEZ,APROBADA,SI
DIPUTADO,MARIA ISABEL MARGARITA,MARTINEZ,LIZAMA,APROBADA,SI
DIPUTADO,DANISA,ASTUDILLO,PEIRETTI,APROBADA,SI
DIPUTADO,RENE VICENTE,ROMERO,PASTEN,RECHAZADA,NO
DIPUTADO,MARIA ANGELICA,ALVEAR,MONTECINOS,APROBADA,SI
DIPUTADO,JOSE EULOGIO,ABURTO,ANCAPAN,APROBADA,SI
DIPUTADO,CLAUDIA MARCELA,ARDILES,TAGLE,APROBADA,SI
SENADOR,ROBERTO JAVIER,COFRE,CERDA,APROBADA,SI
DIPUTADO,GABRIEL ESTEBAN,BELTRAMI,WOELKAR,APROBADA,SI
DIPUTADO,EDILIA ESTER,STUARDO,BARRIGA,APROBADA,NO
DIPUTADO,MARISOL,PARANCAN,SOTO,APROBADA,SI
DIPUTADO,LUZ CELENA,SOTO,VEGA,APROBADA,SI
DIPUTADO,MARIA PAZ,LAGOS,VALDIVIESO,APROBADA,SI
DIPUTADO,GUSTAVO CARLOS,BURGOS,VELASQUEZ,APROBADA,NO
DIPUTADO,NELSON,VENEGAS,SALAZAR,APROBADA,SI
SENADOR,PAULINA,VODANOVIC,ROJAS,APROBADA,SI
DIPUTADO,CLAUDIA,VALENZUELA,TORRES,APROBADA,SI
DIPUTADO,LEDY,OSANDON,FERRER,APROBADA,SI
DIPUTADO,ANDRES,JOUANNET,VALDERRAMA,APROBADA,SI
DIPUTADO,WALESKA PAULA SOLEDAD,FEHRMANN,ATERO,APROBADA,SI
DIPUTADO,KARLA,BENAVIDES,HENRIQUEZ,APROBADA,SI
DIPUTADO,ANGELICA TERESA,FLORES,RODRIGUEZ,APROBADA,SI
DIPUTADO,MARCO,PEREZ,BARRIA,APROBADA,SI
SENADOR,MATIAS,WALKER,PRIETO,APROBADA,SI
DIPUTADO,SORAYA,SAID,TEUBER,APROBADA,SI
DIPUTADO,NUBIA LORENA,VIVANCO,ILLANES,APROBADA,SI
DIPUTADO,ALFONSO,BELMAR,RODRIGUEZ,APROBADA,SI
DIPUTADO,PABLO,KAST,SOMMERHOFF,APROBADA,SI
DIPUTADO,ANDREA,PARRA,SAUTEREL,APROBADA,SI
SENADOR,GUSTAVO,DAVILA,SEPULVEDA,APROBADA,SI
DIPUTADO,DANIELA FRANCISCA,LAVARELLO,RAMIREZ,APROBADA,SI
DIPUTADO,CARLA ANDREA,GONZALEZ,LIAPIZ,APROBADA,NO
DIPUTADO,RODRIGO ANTONIO,MAUREIRA,VASQUEZ,APROBADA,SI
DIPUTADO,ROBINSON,PIÑEDA,VASQUEZ,APROBADA,SI
DIPUTADO,REINALDO,ROZAS,SILVA,APROBADA,SI
DIPUTADO,FRANCISCO DE BORJA,EGUIGUREN,CORREA,APROBADA,SI
DIPUTADO,MARCIA DEL CARMEN,MILLAQUEO,IBARRA,APROBADA,SI
DIPUTADO,JOSE,OLAVE,MARTINEZ,APROBADA,SI
DIPUTADO,CELIE RENEE,ARAYA,ESCOBAR,APROBADA,SI
DIPUTADO,MARCOS,ILABACA,CERDA,APROBADA,SI
DIPUTADO,HELMUT,KRAMER,ANGEL,APROBADA,SI
DIPUTADO,LORENA CECILIA,DONAIRE,CATALDO,APROBADA,SI
DIPUTADO,GABRIELA DEL CARMEN,MANCILLA,MATELUNA,APROBADA,SI
DIPUTADO,ORLANDO CHRISTIAN,MACHEFERT,INOSTROZA,APROBADA,SI
DIPUTADO,PATRICIA,RUBIO,ESCOBAR,APROBADA,NO
DIPUTADO,DOMINGO,TORRES,SANCHEZ,APROBADA,NO
DIPUTADO,CESAR MARCELO,CIFUENTES,MUÑOZ,APROBADA,SI
DIPUTADO,PEDRO LUIS,LUQUE,ARANCIBIA,APROBADA,SI
DIPUTADO,MARIA LORETO,ALLUE,PRIETO,APROBADA,SI
SENADOR,JORGE BRUNO,KEIM,GUTIERREZ,APROBADA,SI
DIPUTADO,VERONICA ANDREA,LOPEZ-VIDELA,PINO,APROBADA,SI
DIPUTADO,ORIANA,PAREDES,PEREZ,APROBADA,NO
DIPUTADO,SANDRA ISABEL,CHEUQUEPAN,QUEZADA,APROBADA,SI
SENADOR,JUAN MANUEL,RIVAS,GARRIDO,APROBADA,SI
DIPUTADO,LUIS ALBERTO,CASTRO,BENAVIDES,APROBADA,SI
DIPUTADO,ROXANA DEL PILAR,MIRANDA,MENESES,APROBADA,SI
DIPUTADO,CLAUDIA DEL PILAR,FAUNDEZ,FUENTES,APROBADA,SI
DIPUTADO,MARIO,GONZALEZ,FIGUEROA,APROBADA,SI
DIPUTADO,EVELYN LOURDES,MONTALBA,PALMA,APROBADA,SI
DIPUTADO,BERNARDO,CORNEJO,CERON,APROBADA,SI
DIPUTADO,MARIA IGNACIA,CASTRO,ROJAS,APROBADA,SI
SENADOR,ELIANA,SANHUEZA,ORTIZ,APROBADA,SI
DIPUTADO,ROMANINA,MORALES,BALTRA,APROBADA,SI
SENADOR,CARMEN GLORIA,GARATE,SILVA,APROBADA,SI
DIPUTADO,RODRIGO,ANGULO,SANTANDER,APROBADA,SI
DIPUTADO,CLAUDIA NATHALIE,MIX,JIMENEZ,APROBADA,SI
DIPUTADO,EMILIA,NUYADO,ANCAPICHUN,APROBADA,SI
DIPUTADO,PAOLA MARGARITA,BERNALES,PANTOJA,APROBADA,SI
DIPUTADO,PEDRO PABLO,VALENZUELA,CASTRO,APROBADA,SI
DIPUTADO,CLAUDIO ANDRES,REYES,GONZALEZ,APROBADA,SI
DIPUTADO,VICTOR,BARRA,QUIJADA,APROBADA,SI
DIPUTADO,JUAN PABLO,ESPINOSA,MORALES,APROBADA,SI
DIPUTADO,PAMELA,VARGAS,TOLEDO,APROBADA,SI
DIPUTADO,HERNAN MAURICIO,CORTES,BERNAL,APROBADA,NO
DIPUTADO,HECTOR DAVID,ULLOA,AGUILERA,APROBADA,SI
DIPUTADO,BORIS ANTHONY,BARRERA,MORENO,APROBADA,SI
DIPUTADO,DANIEL ENRIQUE,GODOY,LAGOS,APROBADA,SI
DIPUTADO,SILVANA,NEIRA,LLANOS,APROBADA,SI
DIPUTADO,CHURI,MEIRA,MARAMBIO,APROBADA,SI
DIPUTADO,ALEJANDRO IVAN,ESCOBAR,LOBOS,APROBADA,SI
DIPUTADO,JOHANNA MARIECHEN,OLIVARES,GRIBBELL,APROBADA,SI
SENADOR,OSCAR,ALMAZAN,SEPULVEDA,APROBADA,SI
DIPUTADO,CARLOS,MIRANDA,MUÑOZ,APROBADA,SI
SENADOR,PAOLA ALEJANDRA,VENEGAS,ARRIAGADA,APROBADA,SI
DIPUTADO,HECTOR,RODRIGUEZ,MENDOZA,APROBADA,SI
DIPUTADO,MARCELO,GARCIA,SOTO,APROBADA,SI
SENADOR,FIDEL,ESPINOZA,SANDOVAL,APROBADA,SI
DIPUTADO,ALVARO VALENTIN,SANCHEZ,ROJAS,APROBADA,SI
DIPUTADO,FRANCISCO ALBERTO,CHAVEZ,CATEPILLAN,APROBADA,SI
DIPUTADO,RAUL GONZALO,ARDILES,RAMIREZ,APROBADA,SI
DIPUTADO,KARIN CLAUDIA,LUCK,URBAN,APROBADA,SI
DIPUTADO,IRMA,PEREZ,LLANQUIN,APROBADA,SI
DIPUTADO,YASNA,ZAVALLA,MORALES,APROBADA,SI
DIPUTADO,MARCELA,RUZ,ANDRADE,APROBADA,SI
DIPUTADO,MARCIA LORENA,TAPIA,NAVIA,APROBADA,SI
DIPUTADO,ALEJANDRA,HERRERA,ANDREUCCI,APROBADA,NO
DIPUTADO,VICTOR ENRIQUE,ORELLANA,PARRA,APROBADA,SI
DIPUTADO,SOFIA SLOVENA,CID,VERSALOVIC,APROBADA,SI
DIPUTADO,JOSE,OSORIO,CUBILLOS,APROBADA,SI
SENADOR,MARCELO HUMBERTO,RIOSECO,PAIS,APROBADA,SI
DIPUTADO,DAVID NATANAEL,ROMO,GARRIDO,APROBADA,NO
DIPUTADO,IGNACIO ALFREDO,ALLENDE,CORTEZ,APROBADA,SI
DIPUTADO,FRANCISCO,PULGAR,CASTILLO,APROBADA,SI
DIPUTADO,IVAN LENIN,VALERIA,RODRIGUEZ,RECHAZADA,NO
DIPUTADO,IVONNE MARIA,MARTINEZ,MOLINAS,APROBADA,NO
DIPUTADO,CLAUDIA PATRICIA,AVALOS,ROBLERO,APROBADA,SI
DIPUTADO,MARCELO DAVID,MERINO,VERGARA,APROBADA,NO
DIPUTADO,RAUL,ROMAN,CAMPOS,APROBADA,SI
DIPUTADO,MARIA ANGELICA,CANCINO,CISTERNA,APROBADA,NO
SENADOR,CECILIA DEL PILAR,PALACIOS,LEIVA,APROBADA,SI
DIPUTADO,EDDY,ROLDAN,CABRERA,APROBADA,SI
SENADOR,CAROLINA,LAVIN,ALIAGA,APROBADA,SI
DIPUTADO,PAOLA ANDREA,WALKER,RODRIGUEZ,APROBADA,SI
SENADOR,MARCELO,DIAZ,DIAZ,APROBADA,SI
DIPUTADO,CAROLINA JEANNETTE,MONSALVES,SANHUEZA,APROBADA,SI
DIPUTADO,PAMELA MARIANA,CORDERO,AVARIA,APROBADA,SI
DIPUTADO,MAURICIO ANDRES,VIDAL,LEYTON,APROBADA,SI
DIPUTADO,CLAUDIA CRISTINA,ACEVEDO,MORALES,APROBADA,SI
DIPUTADO,MYRIAM,BENITEZ,JOFRE,APROBADA,SI
DIPUTADO,LUZ,POBLETE,CODDOU,APROBADA,SI
DIPUTADO,EDUARDO ANDRES,ALVARADO,ESPINA,APROBADA,SI
DIPUTADO,CARLOS ALONSO,DIAZ,ROJAS,RECHAZADA,NO
SENADOR,FAUMELISA,MANQUEPILLAN,CALFULEO,APROBADA,SI
DIPUTADO,CLARISA DE LAS MERCEDES,RIOS,INOSTROZA,APROBADA,SI
DIPUTADO,FRANCESCA,PARODI,OPPLIGER,APROBADA,SI
DIPUTADO,LUZ ELIANA,ALCA,TURRA,APROBADA,SI
DIPUTADO,ROMY NATHALIE,BERNAL,DIAZ,APROBADA,SI
DIPUTADO,JACQUELINE,AVILA,VILCA,APROBADA,NO
DIPUTADO,ALEX,FARIAS,PEREZ,APROBADA,SI
DIPUTADO,FELIX,GONZALEZ,GATICA,APROBADA,SI
DIPUTADO,FRANK CARLOS,SAUERBAUM,MUÑOZ,APROBADA,SI
DIPUTADO,JOSE,MILLALEN,PAILLAL,APROBADA,SI
DIPUTADO,ANDREA,QUIJON,GODOY,APROBADA,SI
DIPUTADO,EDUARDO ALEJANDRO,ACUÑA,FUENTES,APROBADA,SI
DIPUTADO,CECILIA SUSANA,COLLAO,CARVAJAL,APROBADA,SI
DIPUTADO,KAREN ROSE,HEYNE,BOLADOS,APROBADA,SI
DIPUTADO,RODRIGO,PEREZ,LISICIC,APROBADA,SI
DIPUTADO,FRANCISCA,VALDES,VIGIL,APROBADA,SI
DIPUTADO,LILIANA,MAULEN,GONZALEZ,APROBADA,SI
SENADOR,CLAUDIA,PASCUAL,GRAU,APROBADA,SI
DIPUTADO,ERIKA,MONTECINOS,URREA,APROBADA,SI
DIPUTADO,EDUARDO,CORNEJO,LAGOS,APROBADA,SI
DIPUTADO,EDUARDO,DURAN,SALINAS,APROBADA,SI
DIPUTADO,ALEJANDRA,AILLAPAN,HUIRIQUEO,APROBADA,NO
DIPUTADO,ALEJANDRO ALBERCIO,JELDRES,MORALES,APROBADA,SI
SENADOR,LORETO,CARVAJAL,AMBIADO,APROBADA,SI
DIPUTADO,CARLOS SAUL,VALENZUELA,VILLAR,APROBADA,NO
DIPUTADO,EUGENIO,CANALES,CANALES,APROBADA,SI
DIPUTADO,MARLENE,PEREZ,CARTES,APROBADA,SI
DIPUTADO,MARGARITA ELENA,SANCHEZ,BECERRA,APROBADA,SI
DIPUTADO,CLAUDIA ANDREA,TASSARA,RUILOVA,APROBADA,SI
DIPUTADO,FELIX,BUGUEÑO,SOTELO,APROBADA,SI
DIPUTADO,HUGO,REY,MARTINEZ,APROBADA,SI
DIPUTADO,RICARDO VITALY,LEDEZMA,JIMENEZ,APROBADA,SI
DIPUTADO,ANA MARIA,BRAVO,CASTRO,APROBADA,SI
SENADOR,PAOLA AMANDA,DEBIA,GONZALEZ,APROBADA,SI
DIPUTADO,BENEDICTA ISABEL,RODRIGUEZ,RUBIO,APROBADA,SI
DIPUTADO,YOVANA ALEJANDRA,AHUMADA,PALMA,APROBADA,NO
DIPUTADO,KARLA,KEPEC,ALVAREZ,APROBADA,SI
DIPUTADO,SAVKA,POLLAK,TOMASEVICH,APROBADA,SI
DIPUTADO,LEONEL RUBEN,JARAMILLO,COUMERME,RECHAZADA,NO
DIPUTADO,XIMENA,SALINAS,GONZALEZ,APROBADA,SI
SENADOR,RODRIGO ALEJANDRO,DIAZ,MUÑOZ,APROBADA,SI
DIPUTADO,RUBEN,ROSALES,SEPULVEDA,APROBADA,SI
SENADOR,RUTH,ROJAS,MERA,APROBADA,NO
DIPUTADO,LUIS,MARCOS,PEREZ,APROBADA,SI
DIPUTADO,JESSICA FABIOLA,RUPAYAN,PONCE,APROBADA,SI
DIPUTADO,MARCELA PATRICIA,RIQUELME,ALIAGA,APROBADA,SI
DIPUTADO,LUCY DEL CARMEN,MUÑOZ,MARTICORENA,APROBADA,SI
DIPUTADO,ANDREA VALESKA,MORALES,PENROZ,APROBADA,SI
DIPUTADO,ROXANA JACQUELINE,CEA,GOMEZ,APROBADA,SI
DIPUTADO,HUGO ALEJANDRO,VALLEJOS,LANDEROS,APROBADA,SI
DIPUTADO,MARCELA,SUAREZ,MUÑOZ,APROBADA,SI
DIPUTADO,CRISTIAN ALIRO,MUÑOZ,GARRIDO,APROBADA,SI
DIPUTADO,ALEJANDRA ESTER,MUÑOZ,ORELLANA,APROBADA,SI
DIPUTADO,MANUEL,IBARRA,MONDACA,APROBADA,SI
DIPUTADO,ALAN VALDO,ROLDAN,CABRERA,APROBADA,SI
DIPUTADO,JANET VIOLETA,ORDENES,GUERRA,APROBADA,NO
SENADOR,PEDRO,ARAYA,GUERRERO,APROBADA,SI
DIPUTADO,SUSANA MARIBEL,PONCE,MOLLO,APROBADA,NO
DIPUTADO,CATHERINE VALEZKA,FUENTES,URRA,APROBADA,NO
DIPUTADO,MARIA ANGELICA,SILVA,TRONCOSO,APROBADA,SI
SENADOR,IVAN IGOR,AVILA,PEREZ,APROBADA,SI
DIPUTADO,ANDREA,GUZMAN,HERRERA,APROBADA,SI
DIPUTADO,RAUL,LEIVA,CARVAJAL,APROBADA,SI
DIPUTADO,FABIOLA DEL SOCORRO,RODRIGUEZ,PARADA,APROBADA,SI
DIPUTADO,CLAUDIA,ACEVEDO,CORNEJO,APROBADA,SI
DIPUTADO,JULIO ENRIQUE,HERNANDEZ,PRADO,APROBADA,SI
DIPUTADO,JESSICA MARCELA,GARCIA,PHILLIPS,APROBADA,SI
DIPUTADO,HUGO MARCELO,ALVAREZ,VILLAGRA,APROBADA,SI
DIPUTADO,MARISOL JACQUELINE,LLANOS,PRADO,APROBADA,SI
DIPUTADO,JOSE,MADARIAGA,LABRA,APROBADA,SI
DIPUTADO,CARLOS ROBERTO,MUÑOZ,REYES,APROBADA,NO
SENADOR,ALBERTO,PIZARRO,CHAÑILAO,APROBADA,SI
DIPUTADO,AGUSTIN MATIAS,ROMERO,LEIVA,APROBADA,SI
DIPUTADO,DANILO JOSE,CAROCA,SALGADO,APROBADA,SI
DIPUTADO,VIVIANA,DELGADO,RIQUELME,APROBADA,SI
DIPUTADO,MARCO ANTONIO,LOBOS,VASQUEZ,APROBADA,NO
DIPUTADO,HECTOR,OJEDA,RUIZ,APROBADA,SI
DIPUTADO,GERMAN RODRIGO,CARTES,OYARZO,APROBADA,SI
DIPUTADO,SUSANA CARMEN,LOPEZ,DELGADO,APROBADA,NO
DIPUTADO,PAMELA ANDREA,HENRIQUEZ,ROJAS,APROBADA,SI
DIPUTADO,LISIT SDELONA,FERNANDEZ,MENAY,APROBADA,NO
DIPUTADO,JUAN GUILLERMO,DIAZ,BUSTAMANTE,APROBADA,NO
DIPUTADO,CRISTIAN ALEJANDRO,LUNA,SALINAS,APROBADA,SI
DIPUTADO,SUSANA,CALDERON,ROMERO,APROBADA,SI
DIPUTADO,MARIA ELENA,BALCAZAR,QUINTEROS,APROBADA,NO
DIPUTADO,LUIS EDUARDO,CANTELLANO,AMPUERO,APROBADA,SI
DIPUTADO,MACARENA,KINAST,CASANOVA,APROBADA,SI
DIPUTADO,CRISTOBAL,URRUTICOECHEA,RIOS,APROBADA,SI
DIPUTADO,VICTOR ALEJANDRO,PINO,FUENTES,APROBADA,SI
DIPUTADO,JOSUE ALBERT,ORMAZABAL,MORALES,APROBADA,SI
DIPUTADO,CLAUDIO ARIEL,DEL RIO,MALGARINI,APROBADA,SI
DIPUTADO,CARLOS,GREZ,ROJAS,APROBADA,SI
DIPUTADO,MARISELA,SANTIBAÑEZ,NOVOA,APROBADA,SI
DIPUTADO,ANDREA DEL CARMEN,DUARTE,VIDAL,APROBADA,SI
DIPUTADO,CLAUDIO ANTONIO,SEPULVEDA,YOUNG,APROBADA,SI
DIPUTADO,ROSA DEL CARMEN,VALENZUELA,CHAMORRO,APROBADA,SI
DIPUTADO,GLADYS,ACUÑA,ROSALES,APROBADA,SI
SENADOR,MARCIA ISABEL,BARRERA,CISTERNAS,APROBADA,SI
DIPUTADO,IVONNE ULRIKE,MANGELSDORFF,GALEB,APROBADA,SI
DIPUTADO,ALEJANDRA,VALDEBENITO,TORRES,APROBADA,SI
SENADOR,ENA,VON BAER,JAHN,APROBADA,SI
SENADOR,CHRISTIAN ANGEL MAURICIO,CID,BARAHONA,APROBADA,SI
DIPUTADO,NATALI ANDREA,HINOJOSA,SERRANO,APROBADA,NO
SENADOR,SEBASTIAN,DEPOLO,CABRERA,APROBADA,SI
DIPUTADO,PATRICIA ANDREA,TORREALBA,PINO,APROBADA,SI
